what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1419187079172
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1419187079470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419187081243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419187095010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187095389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419187097921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419187100555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187100842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187101726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187111457
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419187113817
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419187113927
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419187115582
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419187117211
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419187118605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187129043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187154035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419187159780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419187167954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187168280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187178485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187288226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187295232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187358707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419187370929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419187375066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187375741
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419187379895
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1419187382532
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1419187382812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419187382912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187402070
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419187403883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187410018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187411424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187411715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187424776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419187460256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419187462771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187463232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187467592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187473726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1419187491623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187492513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187497608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187501202
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419187503237
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1419187508849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187510194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187511829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187534478
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419187536669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187550250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187551640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187587797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419187599307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419187616621
