what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418076953965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418076957044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418076959884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418076961549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418076965230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418077001338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077002487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077084830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077104779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077114156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077114925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077119580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077127561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077149082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077150623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077185642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077212591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077232168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077235572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077276892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077279061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077323298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1418077353288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1418077355163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1418077361579
started,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1418077361725
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1418077361885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418077363778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418077365100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077367013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077391271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077410856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077412246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077429702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077430922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418077433530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077434867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077436509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077443099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077604299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418077714231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418077716989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418078004408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418078027515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418078038491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1418078270666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418078271660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418078282925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418078324351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079086206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079092459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079093867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079094896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1418079103490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079115212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079122303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079129749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418079134858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079136372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079158468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079184946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1418079189975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418079191412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079192042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079193637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079195828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079197031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079201136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079202542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079204184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079205130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079206794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079207400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079210664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079212104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079254121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079269589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079271195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1418079275466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418079278568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079283380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079292547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079293519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079302642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079305378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079306694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079309015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079309901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079312701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079313474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079331778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079337130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079338852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079344861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1418079358238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418079360200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418079372069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079377476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079381884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418079389338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418079390308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079392793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079474924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079491166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079571411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079573442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079578828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418079588909
