what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413578085037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578086617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578103261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1413578105498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1413578106657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413578106985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578107956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578122435
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1413578124965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578142953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578258320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413578262133
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1413578262980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413578264773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413578266099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413579447702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413579449536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413579463929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413579675135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583509330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583510104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583513491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583516246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583769884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583772009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413583780351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413583806413
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1413583817661
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1413583817961
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1413583818018
