what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1414610859718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1414610860432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414610861291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414610865960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414610868769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414610870843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414610871235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414610873086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414610919012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414610937790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414610939878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414610940286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414610941690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611049572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414611055676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611059985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611080805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414611088827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611091634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611100279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414611121817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611124987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611160527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414611168078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414611171771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414611173013
