what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419142291944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1419142291995
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419142295311
closed,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419142295312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419142295850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419142303377
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1419142305663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419142307662
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419142338280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419142351078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419142420898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419142426957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419142431317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419142439336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419143660437
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419143712994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1419143737721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1419143738181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419143746391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419143752124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419143753438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419143754224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419143758423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419143761496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144053764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144077921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144130666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144131683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144317556
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1419144323464
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419144323816
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419144323959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144331848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144346884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419144349944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419144365897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144373904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144393004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144400960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144404575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419144406584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419144410756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419144419303
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1419144421817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144422142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144428540
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419144434007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144436761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144440196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419144442978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144464331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144469586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419144473351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419144473724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144479740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144522003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419144524609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145391382
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1419145429503
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1419145429508
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1419145429778
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1419145430244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419145431964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419145434831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419145450433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419145462219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419145464388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1419145478421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419145490678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145495306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145561493
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1419145563285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145567075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145594161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145601994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145661123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145682282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419145998566
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419146003028
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419146003145
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419146003145
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419146005258
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419146010370
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419146016838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419146021836
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1419146023926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419146031215
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419146033652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419146078743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419146213627
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419146219580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419146264466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419146265129
activated,editor,org.python.pydev,3.8.0.201409251235,"org.python.pydev.editor.PythonEditor",1419146266537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419147775926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419147791654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419147794994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419148627589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419148627738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419148629225
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419148629629
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1419148630310
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1419148630311
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1419148630311
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1419148630311
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1419148630311
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1419148630311
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1419148630311
