what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429442
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429480
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429516
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429553
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429591
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595429936
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595430127
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595430381
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1413595430742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413595431749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413595432709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413595446907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413595447476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413595607369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413595608609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413596414874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413596416336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413600627991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413600629519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413600666572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413600667347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413601308386
